Word,Frequency,PMI,R_Entropy,L_Entropy
周,985,80,5.026939716963304,6.649080314678127
正,973,80,6.602667549196262,6.615408002649543
祭,968,80,5.7037138821295645,6.6313282708855175
宫,963,80,6.441523445636071,6.539766052257691
师,950,80,6.240155040758337,5.256051597338866
制,927,80,6.528623085781851,5.311379015151136
八,926,80,4.833107575217131,6.605601900193329
事,922,80,6.4896629951946565,6.100477015608659
知,916,80,6.5767931793721,4.579354050283832
同,904,80,6.333191294077258,6.649924711630553
律,902,80,6.259661899329893,5.326194189457433
防,892,80,7.217503651124506,7.240162643236616
如,880,80,5.411447231848729,6.818014268907962
地,862,80,6.00715205051007,4.489084437162399
小,858,80,5.935380305191493,6.840232670680851
武,854,80,5.880826807339825,6.2666264833977925
君,849,80,4.520162566085718,6.401057286199574
帝,839,80,7.204990307137585,5.456677063348744
盖,837,80,7.38415686289789,6.176112220082751
皆,830,80,7.074741455870586,7.303618227983725
行,825,80,6.471784185593096,6.660511818460795
太,816,80,4.821959141588088,7.199039951313044
夏,801,80,6.698293911530301,5.7078154003176
合,789,80,6.162931597064609,6.40495342900088
出,782,80,5.755953732176297,6.712385037995451
物,778,80,6.298134798776235,5.423367694783401
国,778,80,5.929424543158328,6.586790081538729
自,775,80,6.958829950942258,6.9780542405798425
始,772,80,6.058327102691955,6.659991918866611
阳,755,80,6.222774366614605,6.080837110360924
时,752,80,7.02489211831521,5.579256388236011
生,746,80,6.401466228831394,6.1348739710906095
南,746,80,5.980523992062132,6.228857681140686
夫,742,80,6.835317866144068,4.236084788761747
射,736,80,6.364283701850626,5.0814784580322545
岂,726,80,5.524761149639674,6.598038838427866
象,717,80,6.609831413843237,5.600290510268036
九,717,80,5.938554411737939,6.296160556618957
节,716,80,6.276843147304221,5.424636033601753
古,704,80,4.06197039330211,6.057542300459223
器,697,80,6.160251824110606,4.667884848897882
明,685,80,5.901011573198755,6.701333265641822
相,681,80,6.513533001784552,6.811867686962945
诸,678,80,3.4978810669170914,7.080848414077182
祀,667,80,6.50479498691163,4.6008378810648605
磬,667,80,6.367128834301439,5.130893659733337
必,665,80,6.517445290192101,6.570039245612864
侯,663,80,6.805737200210637,3.5613812991579135
曲,659,80,7.091946627552955,6.163112829997426
百,658,80,5.211518378231897,4.630656540797178
得,656,80,5.658200983582449,6.144431757217253
教,654,80,5.74484025042419,5.697927842525383
主,651,80,6.213149264438993,6.200465101302016
诗,651,80,5.32360997054017,6.0373042058938164
应,640,80,5.711953651794526,6.200162958429327
徳,639,80,6.18792327333326,6.216958610187038
意,633,80,5.103336283000114,3.044996081051891
管,623,80,6.674757176256307,5.564852607488567
义,619,80,6.274089566981786,4.777034603047036
神,612,80,6.6021029786923995,5.553984439664919
臣,608,80,6.44660745711919,4.993269863427442
凡,596,80,6.001358417898461,6.258931846254259
琴,594,80,4.704395983377739,6.171681427136943
民,590,80,6.293292040068231,5.90985842722731
未,588,80,4.839515992676104,6.924192631407302
公,586,80,6.850805519766551,6.356639543081651
吕,580,80,6.000012744331354,3.376539616074774
黄,578,80,2.0681980280153693,6.549673622094663
鼔,570,80,6.822177651107382,6.671850593002238
日,570,80,6.294091885189471,6.38344747204575
又,563,80,6.464554067558113,7.314014297060746
笙,562,80,5.332551625884087,6.204281687670112
方,561,80,6.140843255165056,5.564417160535034
司,554,80,4.341315741251851,4.333784451102845
羽,543,80,6.279965743385454,6.000743534225152
数,534,80,6.021169938819822,5.367298814648519
庙,532,80,6.224001858973152,4.126507688067986
西,532,80,5.999651770362049,6.07082764687921
本,531,80,5.839341936226301,5.759922997551814
清,529,80,5.565745627959521,5.998822340985089
能,526,80,6.960395528824277,5.309077029692552
七,525,80,5.990124714179332,6.397341569417462
月,523,80,6.090802691041713,5.447919341519257
官,520,80,6.2204330992902435,3.886990751408881
雅,517,80,5.347263025823523,5.633060092620679
入,514,80,5.951594484592362,5.851195894599845
及,503,80,7.126534231403964,6.24145562220634
瑟,503,80,6.291677191622833,3.8128775455950277
宗,503,80,5.3376958842189675,6.123441041439281
朝,502,80,6.706027672708802,5.494736168300834
气,500,80,6.103871056761128,5.109835607420207
特,499,80,6.530367343406618,5.027803944653934
干,499,80,5.342616871879931,5.736223594396189
足,499,80,3.924269772885754,4.850166993047959
异,495,80,6.0473588540653305,6.443779596825186
长,492,80,6.1237589370272065,6.660044842812936
心,482,80,6.079443360383569,5.606852208624065
德,477,80,6.200315509106575,6.193174117178874
见,477,80,6.061776955935919,6.090458455243961
商,472,80,6.120743853300178,6.311635009078131
